"","S","E","Ia","Is","R","ReD","V"
"0",99,0,0,1,0,0,0
"0.1",98.9598149863952,0,0,1.03003520791145,0.010149805693368,0,0
"0.2",98.9184402209206,0,0,1.06095535404753,0.0206044250318806,0,0
"0.3",98.8758443265078,0,0,1.0927835301775,0.0313721433147551,0,0
"0.4",98.8319893260678,0,0,1.12554766925053,0.0424630046817295,0,0
"0.5",98.786840128532,0,0,1.15927356175846,0.0538863097095482,0,0
"0.6",98.7403600703276,0,0,1.19398813542983,0.0656517942425947,0,0
"0.7",98.6925115306497,0,0,1.22971900229362,0.0777694670566905,0,0
"0.8",98.6432558005467,0,0,1.26649454924973,0.0902496502035662,0,0
"0.9",98.5925532410028,0,0,1.30434382391493,0.103102935082263,0,0
"1",98.5403632093555,0,0,1.34329658548746,0.116340205157093,0,0
"1.1",98.4866440264842,0,0,1.38338332648775,0.129972647028028,0,0
"1.2",98.4313529642768,0,0,1.42463527990808,0.144011755815115,0,0
"1.3",98.3744462253707,0,0,1.46708443152988,0.158469343099441,0,0
"1.4",98.3158789252065,0,0,1.51076353070003,0.173357544093442,0,0
"1.5",98.2556050735831,0,0,1.55570610122981,0.188688825187138,0,0
"1.6",98.1935775554497,0,0,1.60194645258112,0.204475991969238,0,0
"1.7",98.129748112602,0,0,1.64951969029044,0.220732197107608,0,0
"1.8",98.0640673256384,0,0,1.6984617260134,0.237470948348213,0,0
"1.9",97.9964845962356,0,0,1.74880928713991,0.254706116624483,0,0
"2",97.9269481298301,0,0,1.80059992590931,0.272451944260609,0,0
"2.1",97.8554049187635,0,0,1.85387202797322,0.290723053263345,0,0
"2.2",97.7818007259533,0,0,1.90866482035027,0.309534453696437,0,0
"2.3",97.7060800691542,0,0,1.96501837871451,0.328901552131313,0,0
"2.4",97.6281862058774,0,0,2.0229736339556,0.348840160167072,0,0
"2.5",97.5480611190417,0,0,2.08257237794616,0.369366503012165,0,0
"2.6",97.4656455034324,0,0,2.14385726844815,0.390497228119507,0,0
"2.7",97.3808787530473,0,0,2.20687183308669,0.412249413866042,0,0
"2.8",97.2936989494163,0,0,2.27166047231661,0.43464057826708,0,0
"2.9",97.2040428509819,0,0,2.33826846130316,0.457688687714939,0,0
"3",97.1118458836344,0,0,2.40674195063498,0.481412165730622,0,0
"3.1",97.0170421324999,0,0,2.47712796578366,0.505829901716425,0,0
"3.2",96.9195643350829,0,0,2.54947440522059,0.530961259696512,0,0
"3.3",96.8193438758702,0,0,2.62383003709829,0.556826087031558,0,0
"3.4",96.7163107825082,0,0,2.70024449439922,0.583444723092616,0,0
"3.5",96.6103937236697,0,0,2.77876826845194,0.610838007878404,0,0
"3.6",96.5015200086958,0,0,2.85945270074346,0.639027290560764,0,0
"3.7",96.3896155892942,0,0,2.94234997277209,0.668034437933742,0,0
"3.8",96.2746050631744,0,0,3.02751309406873,0.697881842756927,0,0
"3.9",96.1564116799016,0,0,3.11499588812978,0.728592431968688,0,0
"4",96.0349573491341,0,0,3.20485297612049,0.760189674745405,0,0
"4.1",95.9101626513441,0,0,3.29713975826923,0.792697590386698,0,0
"4.2",95.7819468511559,0,0,3.39191239284096,0.826140756003194,0,0
"4.3",95.6502279134745,0,0,3.48922777254408,0.860544313981502,0,0
"4.4",95.5149225225668,0,0,3.58914349823465,0.895933979198592,0,0
"4.5",95.3759461042403,0,0,3.69171784979899,0.93233604596072,0,0
"4.6",95.233212851297,0,0,3.79700975406729,0.969777394635708,0,0
"4.7",95.0866357524245,0,0,3.90507874962619,1.0082854979493,0,0
"4.8",94.9361266247003,0,0,4.01598494838666,1.0478884269131,0,0
"4.9",94.7815961498785,0,0,4.12978899376986,1.08861485635167,0,0
"5",94.6229539146375,0,0,4.24655201536856,1.1304940699939,0,0
"5.1",94.4601084549651,0,0,4.3663355799421,1.17355596509283,0,0
"5.2",94.2929673048599,0,0,4.48920163860352,1.21783105653655,0,0
"5.3",94.1214370495306,0,0,4.61521247005828,1.26335048041116,0,0
"5.4",93.9454233832685,0,0,4.74443061975542,1.31014599697602,0,0
"5.5",93.764831172176,0,0,4.87691883481461,1.35824999300936,0,0
"5.6",93.5795645219233,0,0,5.01273999459516,1.40769548348148,0,0
"5.7",93.3895268507113,0,0,5.1519570367773,1.45851611251142,0,0
"5.8",93.194620967608,0,0,5.29463287883061,1.51074615356133,0,0
"5.9",92.9947491564273,0,0,5.44083033475059,1.56442050882211,0,0
